길 , longueur
굳이 [구지] , fermement . a tout prix
해돋이 [해도지] , lever de soleil
같이 [가치] , ensemble
밭 , champs
갇히다 , etre enferme . emprisonne
한국말 [한궁말] , langue coreenne
반갑습니다 (반갑다) , etre enchante . etre heureux
끝나다 [끈나다] , se terminer
밥솥 [밥쏱] , autocuiseur a riz
꽃다발 [꼳따발], bouquet de fleur
꽃 , fleur
먹히다 [머키다] , etre manger
좋다 [조타] , etre bon
집 , maison
연락 [열락] , communication
칼날 [칼랄] , lame de couteau
난로 [날로] , poele a charbon
넋 [넉] , ame
앉다 [안다] , s'assoir
많다 [만타] , avoir beaucoup . etre nombreu
닭 [닥] , poulet
삶 [삼] , vie
넓다 [널다] , etre large
핥다 [할ㅡ] , lecher
읊다 [읍ㅡ] , reciter
싫다 [실타] , ne pas aimer
값 [갑] , prix
그립다 , etre cher(ere) . etre inoubliable . penser affectueusement
그리워하다 , regretter
음악 , musique
수학 , mathematique
교실 , salle de classe . amphitheatre
가수 , chanteur
지망생 , apprenti
지갑 , portefeuille
분명 , nettete . clarte
골목 , ruelle . allee
담배 , cigarette
사다 , acheter
허름하다 , etre minable . etre use
원하다 , vouloir . desirer . esperer
사랑 , amour
보내다 , envoyer . expedier . passer (du temps)
거스름돈 , monnaie
차갑다 , etre froid
왜 , pourquoi
울리다 , faire pleurer . sonner
느리다 , etre lent
딸 , fille
돈 , argent
모으다 , joindre . economiser
매우 , tres . fortement
사람 , personne
하루 , un jour . une journee
종일 , toute la journee
비 , pluie
네리다 , tomber . descendre
귀찮다 , etre genant
민한하다 , etre desole
하늘 , ciel
별 , etoile
보다 , regarder
덥다 , etre chaud
여름 , ete
날 , jour
오늘 , aujourd'hui
정말 , vraiment
나쁘다 , etre mauvais . etre mechant
우리 , nous
최선 , le mieux
다하다 , faire de son mieux . utiliser tous les moyens possibles
괴물 , monstre . fantome
팀 ,  equipe
선수 , athlete
안녕하세요 , bonjour
요즘 ,  ces jours-ci
잘 , bien
이다 , etre
반갑습니다 , enchante
사람 , personne
아 그래요? , ah bon?
미국 , amerique
프랑스 , france
영국 , angleterre
독일 , allemagne
중국 , chine
일본 , japon
학생 , etudiant
회사원 , employe
의사 , medecin
번역가 , traducteur
기자 , journaliste
은행원 , employe de banque
배우 , comedien
가정주부 , femme au foyer
요리사 , cuisinier
기혼 , marie
미혼 , celibataire
싱글 , celibataire
어떻게 , comment
이름 , nom
누구 , qui
가다 ,  aller
먼저 ,  d'abord
이따가 , tout a l'heure
약속 , rendez-vous
있다 , exister
뭐 , quoi
정말 , vraiment
재미있다 , etre amusant
또 , encore
휴지통 , poubelle
소파 , sofa
앉다 , s'assoir
고맙다 , remercier
전화 , telephone
없다 , ne pas exister
제미없다 , ne pas etre amusant
맛있다 , avoir du gout
맛없다 , ne pas avoir de gout
멋있다 , etre beau
멋 , elegance
맛 , gout
고맙다 , remercier
귀엽다 , etre mignon
우습다 , etre risible
아름답다 , etre beau
맵다 , etre epice
춥다 , avoir froid
덥다 , avoir chaud
가볍다 , etre leger
어렵다 , etre difficile
쉽다 , etre facile
입다 , s'abiller
얼굴 , visage
예뻐다 , jolie
분 , personne (polie)
것 , chose
이분 , cette personne ci
그분 , cette personne la
저분 , cette personne la-bas
여기 , ici
거기 , la
저기 , la-bas
무슨 , quel
음식 , plat
책상 , plat
연필 , crayon
책 , livre
종이 , feuille de papier
신문 , journal
공책 , cahier
자 , regle
의자 , chaise
운동 , sport
좋아하다 , aimer
아주 , tres . beaucoup
그름 , alors
같이 , ensemble
보통 , d habitude
요일 , jour
잘 , souvent
만나다 , rencontrer
과일 , fruit
고기 , viande
자다 , dormir
숙제 하다 , faire ses devoir
하다 , faire
피곤하다 , etre fatigue
걱정하다 , etre inquiet
예민하다 , etre sensible
걱강하다 , etre en bonne 
영리하다 , etre intelligent
똑똑하다 , etre gros
행복하다 , etre heureux
친절하다 , etre gentil
다정하다 , etre affectueux
신속하다 , etre prompt
감사하다 , etre reconnaissant
편리하다 , etre pratique
깨끗하다 , etre propre
일하다
착하다 , etre bon . etre gentil
일 하다 , travailler
공부 하다 , etudier
쇼핑 하다 , faire du shopping
정돈 하다 , faire du rangement
치다 , frapper
보다 , voir
배우다 , apprendre
되다 , devenir
가다 , aller
서다 , s'arreter
월요일 , lundi
화요일 , mardi
수요일 , mercredi
목요일 , jeudi
금요일 , vendredi
토요일 , samedi
일요일 , dimanche
주중 , en semaine
어제 , hier
내일 , demain
주말 , week-end
오늘 , aujourd'hui
골프 치다 , faire du golf
수형 하다 , faire de la natation
등산 하다 , faire de la randonnee
자정거 타다 , faire du velo
별로 안 좋아하다 , ne pas trop aimer
겨울 , hiver
마을 , quartier . village
알다 , savoir
많다 , etre nombreu
많이 , beaucoup
맞다 , etre correct
왜 , pourquoi
친구 , ami
제과점 , boulangerie
어떻게 , comment
잘 , bien
모르다 , ne pas savoir
미안하다 , etre desole
괜찮다 , etre bon
빠르다 , etre rapide
부르다 , appeler
흐르다 , couler
바쁘다 , etre occupe
슬프다 , etre triste
예쁘다 , etre jolie
사과 , pomme
냉장고 , frigo
집 , maison
학교 , ecole
돌아오다 , rentrer . revenir
사무실 , bureau
위에(서) , sur
아래(에)(서) , sous 
옆에(서) , a cote de
근처에(서) , pres de
오른쪽에(서) , a droite de
왼쪽에(서) , a gauche de
앞에(서) , devant
뒤에(서) , derriere
맞은편에(서) , en face de
꽃병 , vase
탁자 , table
극장 , cinema
나무 , arbre
읽다 , lire
머무르다 , rester . demeurer
들르다 , passer
이야기 하다 , discuter
보다 , voir
듣다 , ecouter . entendre
걷다 , marcher
물어보다 , demander
편지 쓰다 , ecrire une lettre
이메일 보내다 , envoyer un mail
도서관 , bibliotheque
식당 , restaurant
기쁘다 , etre content
여보세요 , allo
혹시 , par hasard
전화번호 , numero de telephone
자전거 , velo
빌리다 , emprunter
빌려주다 , preter
수첩 , carnet
잠깐만요 , un instant svp
일 , 1
이 , 2
삼 , 3
사 , 4
오 , 5
육 , 6
칠 , 7
팔 , 8
구 , 9
십 , 10
백 , 100
천 , 1000
만 , 10000
억 , 1e8
호선 , ligne de bus metro
타다 , prendre
하나 , un
둘 , deux
셋 , trois
냇 , quatre
다섯 , cinq
여섯 , six
일곱 , sept
여덟 , huit
아홉 , neuf
열 , dix
스물 , vingt
설른 , trente
마흔 , quarante
쉰 , cinquante
예순 , soixante
일흔 , soixante-dix
여든 , quatre-vingt
아흔 , quatre-vingt-dix
아이 , enfant
ㅡ 잔 , cl tasse
ㅡ 명 , cl pour personne
ㅡ 분 , cl pour personne (polie)
ㅡ 마리 , cl pour animaux
ㅡ 개 , cl pour petit objet 3D
ㅡ 자루 , cl long objet cylindrique
ㅡ 장 , cl feuilles 2D
ㅡ 대 , cl moyen de transport
ㅡ 병 , cl bouteille
개 , chien
지우개 , gomme
연필 , crayon
종이 , feuille de papier
친구 , ami
편지 , lettre
보내다 , envoyer
받다 , recevoir
돈 , argent
바꿔주다 , appeler
실례지만 , excusez-moi
지금 , maintenant
언제 , quand
나중 , plus tard
다시 , de nouveau
걸다 , telephoner
비행기 , avion
걸어서 , a pied
저녁 , soirée
시간 , temps
무슨 , quel(le)
요일 , jour
생일 , anniversaire
그래서 , c'est pourquoi
그냥 , simplement . tel quel
식사 , repas . dejeuner . diner
하지만 , mais
다른 , autre . different
몇 , quel
모이다 , se rassembler . se réunir
그럼 , alors
집 , maison
알다 , savoir . connaitre
그때 , ce moment-la
자식 , type
전 , avant
정오 , midi
자정 , minuit
정각 , heure exacte . pile
ㅡ쯤 , environ
ㅡ경 , environ
ㅡ정도 , environ
새벽 , matin tres tot
아침 , matin
오후 , apres-midi
저녁 , soir
밤 , nuit
며칠 , quel jour
몇달 , quel mois
즈금 , maintenant
언제 , quand
부터 , de . a partir de
까지 , a . jusqu a
동안 , pendant
휴가 , conge . vacance . permission
하투 , un jour
이틀 , deux jours
닷새 , cinq jours
열흘 , dix jours
지난 , passe
이번 , cette fois-ci
다음 , suivant
작년 , l'annee derniere
올해 , cette année
내년 , l annee prochaine
어떻다 , etre comment
파랗다 , etre bleu
하얗다 , etre blanc
빨갛다 , etre rouge
노랗다 , etre jaune
이렇다 , etre comme-ca
조그마하다 , etre petit
옳다 , avoir raison
싫다 , ne pas aimer
늘 , toujours
항상 , toujours
언제나 , toujours
자주 , souvent . frequement
가끔 , de temps en temps
때때로 , parfois
매ㅡ , chaque
ㅡ마다 , chaque
